THEME,QUESTIONS,ANSWERS,BLOG/LINKS
Custom orders,Can I choose different color/style combinations for ring sets?,"Please contact us at support@rinfit.com, we'd be happy to assist with a custom order.",
General,Why choose rubber wedding bands?,"Silicone wedding bands offer comfort, flexibility, and added safety compared to traditional metal rings, making them suitable for everyday and active use.",
Product details,Ring measurements/Product information,"You can find ring measurements and product details such as material, width, and thickness under the “Product Information” section of each collection.",
Product details,Can I use Rinfit rings during workouts or sports?,Rinfit Silicone rings are designed for active lifestyles and are a safe alternative to metal rings during physical activities.,
Product details,What is the difference between men’s and women’s rings?,Men’s and women’s silicone rings follow the same sizing standards. Differences may apply in width and thickness depending on the style.,
Product details,What is the difference between solid and metallic colors?,"Solid colors are made from colored silicone, while metallic colors use a metallic-colored silicone base with an additional coating to achieve the metallic effect.",
Ring Manteinance,How to clean rings,Silicone rings can be cleaned using warm water and mild soap. Make sure the ring is fully dry before wearing it again.,https://www.rinfit.com/blogs/news/how-to-clean-silicone-rings
Shipping,How long does shipping takes?,"Orders are typically processed within 1-2 business days. Shipping times vary depending on destination and carrier and are estimates, the USPS generally takes 3 to 7 business days to deliver packages.",
Shipping,Where can I find my tracking information?,"Once your order ships, you will receive a shipping confirmation email with a tracking number linked to the carrier.",
Shipping,My order hasn’t arrived yet.,"If your tracking has not updated or your order is delayed, please contact our support team at support@rinfit.com with your order number so we can assist you.",
Shipping,Where do you ship from?,"Orders are shipped from our fulfillment facilities in Boston, Massachusetts.",
Shipping,How much is shipping?,"Shipping costs vary based on destination, carrier, and package weight. The final shipping cost is shown at checkout, and it is usually abour $4 within the US.",
Shipping,Do you ship internationally?,"As a small family business, unfortunately at the moment we can only ship within the US.",
Shipping,Do I need to pay for return shipping?,Return shipping costs are the responsibility of the customer and are non-refundable.,
Size,Are your Rinfit Silicone Rings true to size?,Rinfit silicone rings are true to size and follow the same US measurement standards as traditional metal rings.,https://www.rinfit.com/blogs/news/how-to-define-the-ring-size-accurately
Size,I am a half size. Which size should I choose?,"Our Silicone rings do not have half sizes, as silicone naturally stretches up to half a size with regular wear. If in between sizes, we recommend sizing down.",https://www.rinfit.com/pages/ring-size-guide
Size,Size doesn't fit,We offer a one-time size exchange within 30 days from delivery. Please contact us at support@rinfit.com for an exchange,https://www.rinfit.com/pages/warranty
Warranty,Warranty replacement (broken/damaged ring),We offer a one-time warranty replacement in case of breakage or tears. Please contact our customer support team with a photo of the damaged ring and proof of purchase.,https://www.rinfit.com/pages/warranty
Warranty,What is your return policy?,Returns are accepted within 30 days from delivery for unused and unworn items in their original packaging. A valid proof of purchase is required.,https://www.rinfit.com/pages/warranty
Warranty,How do I start a return?,Please contact our support team at support@rinfit.com before returning an item to receive return instructions.,https://www.rinfit.com/pages/warranty
,,,
Warranty,When will I receive my refund?,"Once your return is received and approved, the refund will be processed to the original payment method. Processing times may vary depending on your bank or card issuer.",
Warranty,Wrong ring/size received,"We’re very sorry that you received the wrong size. Please accept our apologies, and allow us to assist you with a replacement. Contact us at support@rinfit.com",
Product details,Where can I see the sizes/colors available?,You can view the available colors and sizes by opening each collection and selecting the options shown on the product page.,
,Ring rash/allergies,"Silicone is generally hypoallergenic, meaning it is unlikely to cause an allergic reaction. 
However, some people may develop “ring rash” (also known as “wedding ring rash”), which is a common condition that can occur even after years of wearing a ring without issues. It typically appears as redness, irritation, or a rash under the ring band and is highly noticeable when the ring is removed.
This reaction is usually caused by moisture, soap, sweat, or other residues trapped under the ring, rather than the ring material itself. Removing the ring while showering, sleeping, or washing hands can often help prevent irritation.
Additionally, a slightly too-tight fit may contribute to this reaction, as less airflow can lead to trapped moisture. If you feel your ring may be too snug, we would be happy to assist with a size exchange.",
,Wholesale request,"At the moment, we do not have a retailer/wholesale program available, but we are working on it. Please kindly send us an email to support@rinfit.com with the details of your shop, we will definitely get back to you as soon as we open this possibility.",
